grid_family,grid_index,gamma,n,initial_temp,warmup_limit,anneal_limit,max_data,final_energy,energy_gap,interval_rmse,mm_dim_truth,mm_dim_recovered,success_flag,runtime_seconds
log_0p45_0p95_21,6,0.5630744758,24,100,10,10,4,130.4650175,130.4650175,9137960.63,2,1.817623626,false,0.014827291
log_0p45_0p95_21,7,0.58450926,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012725782
log_0p45_0p95_21,8,0.6067600108,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012666159
log_0p45_0p95_21,9,0.6298577899,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012625706
log_0p45_0p95_21,10,0.6538348415,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012514661
log_0p45_0p95_21,11,0.6787246373,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012689948
log_0p45_0p95_21,12,0.704561923,24,100,10,10,4,151.2373892,151.2373892,344640.349,2,1.817623626,false,0.012277033
log_0p45_0p95_21,13,0.7313827671,24,100,10,10,4,145.0051914,145.0051914,18585.57105,2,1.817623626,false,0.013785988
log_0p45_0p95_21,14,0.7592246112,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.012358355
log_0p45_0p95_21,15,0.788126322,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.012322006
log_0p45_0p95_21,16,0.818128246,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011350049
log_0p45_0p95_21,17,0.8492722653,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011508289
log_0p45_0p95_21,18,0.8816018567,24,100,10,10,4,143.5630278,143.5630278,729055.7319,2,1.817623626,false,0.011964908
log_0p45_0p95_21,19,0.9151621517,24,100,10,10,4,148.4405064,148.4405064,1888006.672,2,1.817623626,false,0.011779342
log_0p45_0p95_21,20,0.95,24,100,10,10,4,148.4405064,148.4405064,1888006.672,2,1.817623626,false,0.012234959
lin_0p45_0p95_21,0,0.45,24,100,10,10,4,125.5777959,125.5777959,561219.2185,2,1.817623626,false,0.034449698
lin_0p45_0p95_21,1,0.475,24,100,10,10,4,131.8222272,131.8222272,71268273.48,2,1.817623626,false,0.013959082
lin_0p45_0p95_21,2,0.5,24,100,10,10,4,131.8222272,131.8222272,71268273.48,2,1.817623626,false,0.014371782
lin_0p45_0p95_21,3,0.525,24,100,10,10,4,131.0923894,131.0923894,340916.4007,2,1.817623626,false,0.015702072
lin_0p45_0p95_21,4,0.55,24,100,10,10,4,130.4466962,130.4466962,55649.30463,2,1.817623626,false,0.014156423
lin_0p45_0p95_21,5,0.575,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.013229385
lin_0p45_0p95_21,6,0.6,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.013277714
lin_0p45_0p95_21,7,0.625,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012377418
lin_0p45_0p95_21,8,0.65,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012504181
lin_0p45_0p95_21,9,0.675,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012456638
lin_0p45_0p95_21,10,0.7,24,100,10,10,4,151.2373892,151.2373892,344640.349,2,1.817623626,false,0.012769694
lin_0p45_0p95_21,11,0.725,24,100,10,10,4,145.0051914,145.0051914,18585.57105,2,1.817623626,false,0.012967946
lin_0p45_0p95_21,12,0.75,24,100,10,10,4,139.4652556,139.4652556,268366.4969,2,1.817623626,false,0.011785121
lin_0p45_0p95_21,13,0.775,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.014362076
lin_0p45_0p95_21,14,0.8,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.012407868
lin_0p45_0p95_21,15,0.825,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011576344
lin_0p45_0p95_21,16,0.85,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011986073
lin_0p45_0p95_21,17,0.875,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011546603
lin_0p45_0p95_21,18,0.9,24,100,10,10,4,143.5630278,143.5630278,729055.7319,2,1.817623626,false,0.011509778
lin_0p45_0p95_21,19,0.925,24,100,10,10,4,148.4405064,148.4405064,1888006.672,2,1.817623626,false,0.013472381
lin_0p45_0p95_21,20,0.95,24,100,10,10,4,148.4405064,148.4405064,1888006.672,2,1.817623626,false,0.012330762
log_0p5_0p9_31,0,0.5,24,100,10,10,4,131.8222272,131.8222272,71268273.48,2,1.817623626,false,0.014709522
log_0p5_0p9_31,1,0.5098930446,24,100,10,10,4,131.2862134,131.2862134,272367.0051,2,1.817623626,false,0.014718749
log_0p5_0p9_31,2,0.5199818339,24,100,10,10,4,131.0923894,131.0923894,340916.4007,2,1.817623626,false,0.015462464
log_0p5_0p9_31,3,0.5302702408,24,100,10,10,4,131.0923894,131.0923894,340916.4007,2,1.817623626,false,0.015234713
log_0p5_0p9_31,4,0.5407622151,24,100,10,10,4,131.0923894,131.0923894,340916.4007,2,1.817623626,false,0.015878543
log_0p5_0p9_31,5,0.5514617845,24,100,10,10,4,130.4466962,130.4466962,55649.30463,2,1.817623626,false,0.013968663
log_0p5_0p9_31,6,0.5623730566,24,100,10,10,4,130.4650175,130.4650175,9137960.63,2,1.817623626,false,0.015513908
log_0p5_0p9_31,7,0.57350022,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.013361406
log_0p5_0p9_31,8,0.5848475465,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.013508975
log_0p5_0p9_31,9,0.5964193923,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012946732
log_0p5_0p9_31,10,0.6082201996,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012641155
log_0p5_0p9_31,11,0.6202544987,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012577007
log_0p5_0p9_31,12,0.6325269095,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012530091
log_0p5_0p9_31,13,0.6450421434,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.037760439
log_0p5_0p9_31,14,0.6578050048,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012494379
log_0p5_0p9_31,15,0.6708203932,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.01200421
log_0p5_0p9_31,16,0.6840933054,24,100,10,10,4,147.4898081,147.4898081,328926.1778,2,1.817623626,false,0.012603257
log_0p5_0p9_31,17,0.6976288365,24,100,10,10,4,151.2373892,151.2373892,344640.349,2,1.817623626,false,0.012248314
log_0p5_0p9_31,18,0.7114321829,24,100,10,10,4,151.2373892,151.2373892,344640.349,2,1.817623626,false,0.012193999
log_0p5_0p9_31,19,0.7255086436,24,100,10,10,4,145.0051914,145.0051914,18585.57105,2,1.817623626,false,0.013052204
log_0p5_0p9_31,20,0.7398636223,24,100,10,10,4,139.4652556,139.4652556,268366.4969,2,1.817623626,false,0.011981946
log_0p5_0p9_31,21,0.7545026299,24,100,10,10,4,139.4652556,139.4652556,268366.4969,2,1.817623626,false,0.012703986
log_0p5_0p9_31,22,0.7694312863,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.012158732
log_0p5_0p9_31,23,0.7846553223,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.01229085
log_0p5_0p9_31,24,0.8001805825,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.012524651
log_0p5_0p9_31,25,0.8160130269,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.012010344
log_0p5_0p9_31,26,0.8321587334,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011564645
log_0p5_0p9_31,27,0.8486239004,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011941337
log_0p5_0p9_31,28,0.8654148486,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011421709
log_0p5_0p9_31,29,0.8825380239,24,100,10,10,4,143.5630278,143.5630278,729055.7319,2,1.817623626,false,0.014120643
log_0p5_0p9_31,30,0.9,24,100,10,10,4,143.5630278,143.5630278,729055.7319,2,1.817623626,false,0.011546722
lin_0p5_0p9_31,0,0.5,24,100,10,10,4,131.8222272,131.8222272,71268273.48,2,1.817623626,false,0.014223409
lin_0p5_0p9_31,1,0.5133333333,24,100,10,10,4,131.0923894,131.0923894,340916.4007,2,1.817623626,false,0.015328557
lin_0p5_0p9_31,2,0.5266666667,24,100,10,10,4,131.0923894,131.0923894,340916.4007,2,1.817623626,false,0.015474061
lin_0p5_0p9_31,3,0.54,24,100,10,10,4,131.0923894,131.0923894,340916.4007,2,1.817623626,false,0.015367192
lin_0p5_0p9_31,4,0.5533333333,24,100,10,10,4,130.4650175,130.4650175,9137960.63,2,1.817623626,false,0.015268217
lin_0p5_0p9_31,5,0.5666666667,24,100,10,10,4,130.4650175,130.4650175,9137960.63,2,1.817623626,false,0.014695497
lin_0p5_0p9_31,6,0.58,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.014098525
lin_0p5_0p9_31,7,0.5933333333,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012947073
lin_0p5_0p9_31,8,0.6066666667,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012363066
lin_0p5_0p9_31,9,0.62,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012685498
lin_0p5_0p9_31,10,0.6333333333,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012655147
lin_0p5_0p9_31,11,0.6466666667,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012856855
lin_0p5_0p9_31,12,0.66,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.013508327
lin_0p5_0p9_31,13,0.6733333333,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.013692539
lin_0p5_0p9_31,14,0.6866666667,24,100,10,10,4,151.2373892,151.2373892,344640.349,2,1.817623626,false,0.012687186
lin_0p5_0p9_31,15,0.7,24,100,10,10,4,151.2373892,151.2373892,344640.349,2,1.817623626,false,0.013194112
lin_0p5_0p9_31,16,0.7133333333,24,100,10,10,4,151.2373892,151.2373892,344640.349,2,1.817623626,false,0.012529291
lin_0p5_0p9_31,17,0.7266666667,24,100,10,10,4,145.0051914,145.0051914,18585.57105,2,1.817623626,false,0.013389295
lin_0p5_0p9_31,18,0.74,24,100,10,10,4,139.4652556,139.4652556,268366.4969,2,1.817623626,false,0.012395289
lin_0p5_0p9_31,19,0.7533333333,24,100,10,10,4,139.4652556,139.4652556,268366.4969,2,1.817623626,false,0.012221424
lin_0p5_0p9_31,20,0.7666666667,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.012223336
lin_0p5_0p9_31,21,0.78,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.012660074
lin_0p5_0p9_31,22,0.7933333333,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.017141162
lin_0p5_0p9_31,23,0.8066666667,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.011980542
lin_0p5_0p9_31,24,0.82,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011655805
lin_0p5_0p9_31,25,0.8333333333,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011566754
lin_0p5_0p9_31,26,0.8466666667,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011479353
lin_0p5_0p9_31,27,0.86,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011642234
lin_0p5_0p9_31,28,0.8733333333,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011654902
lin_0p5_0p9_31,29,0.8866666667,24,100,10,10,4,143.5630278,143.5630278,729055.7319,2,1.817623626,false,0.012430225
lin_0p5_0p9_31,30,0.9,24,100,10,10,4,143.5630278,143.5630278,729055.7319,2,1.817623626,false,0.011967277
jitter_log_0p5_0p9_21_seed24051959,0,0.5,24,100,10,10,4,131.8222272,131.8222272,71268273.48,2,1.817623626,false,0.014248008
jitter_log_0p5_0p9_21_seed24051959,1,0.5131492617,24,100,10,10,4,131.0923894,131.0923894,340916.4007,2,1.817623626,false,0.015163676
jitter_log_0p5_0p9_21_seed24051959,2,0.5341604649,24,100,10,10,4,131.0923894,131.0923894,340916.4007,2,1.817623626,false,0.015423708
jitter_log_0p5_0p9_21_seed24051959,3,0.5414101428,24,100,10,10,4,131.0923894,131.0923894,340916.4007,2,1.817623626,false,0.015306892
jitter_log_0p5_0p9_21_seed24051959,4,0.5607495548,24,100,10,10,4,130.4650175,130.4650175,9137960.63,2,1.817623626,false,0.014511579
jitter_log_0p5_0p9_21_seed24051959,5,0.5846864065,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.013517538
jitter_log_0p5_0p9_21_seed24051959,6,0.5904560028,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.013325609
