h,gamma,family,n,d_spacetime,t0,case_seed,optimizer_seed,budget_label,warmup_limit,anneal_limit,max_data,final_energy,energy_gap,interval_rmse,mm_dim_truth,mm_dim_recovered,causal_precision,causal_recall,causal_f1,missing_relations_count,extra_relations_count,exact_match,success_flag,runtime_seconds
1,0.5,minkowski,36,2,100,1959,1987,short_10_10_4,10,10,4,251.4244565,251.4244565,413612.896,2,1.885715996,0.6616915423,0.387755102,0.4889705882,210,68,false,false,0.061645858
3,0.793700526,minkowski,36,2,100,1959,1987,short_10_10_4,10,10,4,263.9372599,263.9372599,17235086.73,2,1.885715996,0.5163398693,0.2303206997,0.3185483871,264,74,false,false,0.028714244
6,0.8908987181,minkowski,36,2,100,1959,1987,short_10_10_4,10,10,4,285.8416427,285.8416427,549582.9819,2,1.885715996,0.52,0.1137026239,0.1866028708,304,36,false,false,0.027118751
10,0.9330329915,minkowski,36,2,100,1959,1987,short_10_10_4,10,10,4,276.5261753,276.5261753,8013625.519,2,1.885715996,0.5135135135,0.166180758,0.2511013216,286,54,false,false,0.025429298
