optimizer_seed,schedule_label,cooling_factor,budget_label,block_index,temperature,energy_eave,causal_precision,causal_recall,causal_f1,missing_relations_count,extra_relations_count,total_relations_target,total_relations_induced,correct_relations,exact_match,success_flag,delta_energy_eave,delta_causal_f1,delta_causal_recall,delta_missing_relations,delta_extra_relations,energy_down_f1_down,energy_down_recall_down,energy_down_missing_up,energy_down_extra_up
1959,gamma_0p95,0.95,medium_25_25_8,6,77.37809375,564.0088105,0.6142857143,0.250728863,0.3561076605,257,54,343,140,86,false,false,7.34515211,0.04010766046,0.02040816327,-7,-24,false,false,false,false
1959,gamma_0p95,0.95,medium_25_25_8,7,73.50918906,561.1432496,0.5353535354,0.1545189504,0.2398190045,290,46,343,99,53,false,false,-2.865560835,-0.1162886559,-0.09620991254,33,-8,true,true,true,false
1959,gamma_0p95,0.95,medium_25_25_8,8,69.83372961,547.2057331,0.5252525253,0.1516034985,0.2352941176,291,47,343,99,52,false,false,-13.93751649,-0.004524886878,-0.002915451895,1,1,true,true,true,true
1962,gamma_0p5,0.5,medium_25_25_8,1,100,332.1295251,0.5677419355,0.2565597668,0.3534136546,255,67,343,155,88,false,false,NA,NA,NA,NA,NA,false,false,false,false
1962,gamma_0p5,0.5,medium_25_25_8,2,50,481.5495298,0.4473684211,0.1982507289,0.2747474747,275,84,343,152,68,false,false,149.4200047,-0.07866617987,-0.0583090379,20,17,false,false,false,false
1962,gamma_0p5,0.5,medium_25_25_8,3,25,595.5357122,0.5886075949,0.2711370262,0.371257485,250,65,343,158,93,false,false,113.9861824,0.09651001028,0.07288629738,-25,-19,false,false,false,false
1962,gamma_0p5,0.5,medium_25_25_8,4,12.5,512.5459715,0.6043165468,0.2448979592,0.3485477178,259,55,343,139,84,false,false,-82.98974065,-0.02270976719,-0.02623906706,9,-10,true,true,true,false
1962,gamma_0p5,0.5,medium_25_25_8,5,6.25,412.0946839,0.6230769231,0.472303207,0.5373134328,181,98,343,260,162,false,false,-100.4512876,0.188765715,0.2274052478,-78,43,false,false,false,true
1962,gamma_0p5,0.5,medium_25_25_8,6,3.125,313.1734017,0.6333333333,0.443148688,0.5214408233,191,88,343,240,152,false,false,-98.9212822,-0.01587260951,-0.02915451895,10,-10,true,true,true,false
1962,gamma_0p5,0.5,medium_25_25_8,7,1.5625,261.2646413,0.6610169492,0.4548104956,0.5388601036,187,80,343,236,156,false,false,-51.90876034,0.0174192803,0.01166180758,-4,-8,false,false,false,false
1962,gamma_0p5,0.5,medium_25_25_8,8,0.78125,220.3473174,0.7007575758,0.5393586006,0.6095551895,158,79,343,264,185,false,false,-40.91732398,0.07069508583,0.08454810496,-29,-1,false,false,false,false
1962,gamma_0p8,0.8,medium_25_25_8,1,100,332.1295251,0.5677419355,0.2565597668,0.3534136546,255,67,343,155,88,false,false,NA,NA,NA,NA,NA,false,false,false,false
1962,gamma_0p8,0.8,medium_25_25_8,2,80,466.9464063,0.6095890411,0.2594752187,0.36400818,254,57,343,146,89,false,false,134.8168812,0.01059452534,0.002915451895,-1,-10,false,false,false,false
1962,gamma_0p8,0.8,medium_25_25_8,3,64,597.2846061,0.4583333333,0.1603498542,0.2375809935,288,65,343,120,55,false,false,130.3381999,-0.1264271864,-0.09912536443,34,8,false,false,false,false
1962,gamma_0p8,0.8,medium_25_25_8,4,51.2,546.7104302,0.4128440367,0.1311953353,0.1991150442,298,64,343,109,45,false,false,-50.57417598,-0.03846594927,-0.02915451895,10,-1,true,true,true,false
1962,gamma_0p8,0.8,medium_25_25_8,5,40.96,525.7510269,0.5870967742,0.2653061224,0.3654618474,252,64,343,155,91,false,false,-20.95940332,0.1663468031,0.1341107872,-46,0,false,false,false,false
