n,family,d_spacetime,case_seed,optimizer_seed,t0,gamma,h,budget_label,row_status,final_energy,interval_rmse,causal_precision,causal_recall,causal_f1,missing_relations_count,extra_relations_count,exact_match,success_flag,runtime_seconds,note
12,minkowski,2,1959,1987,100,0.5,1,short_10_10_4,completed,25.9794897,12080.69044,0.4545454545,0.1219512195,0.1923076923,36,6,false,false,0.004520416,
12,minkowski,2,1959,1987,100,0.5,1,medium_25_25_8,completed,18.67844597,60.99416106,0.7647058824,0.6341463415,0.6933333333,15,8,false,false,0.03322869,
18,minkowski,2,1959,1987,100,0.5,1,short_10_10_4,completed,65.25027654,12807.09934,0.6078431373,0.3563218391,0.4492753623,56,20,false,false,0.008676351,
18,minkowski,2,1959,1987,100,0.5,1,medium_25_25_8,completed,56.43396326,33.13560584,0.7966101695,0.5402298851,0.6438356164,40,12,false,false,0.540794812,
30,minkowski,2,1959,1987,100,0.5,1,short_10_10_4,completed,192.9007527,422233.2087,0.6641221374,0.3595041322,0.4664879357,155,44,false,false,0.025439203,
30,minkowski,2,1959,1987,100,0.5,1,medium_25_25_8,completed,134.9636109,5973.82171,0.6126126126,0.2809917355,0.3852691218,174,43,false,false,260.1098019,
